Category: All categories

Month,Data science: (United States)
2004-01,15
2004-02,12
2004-03,15
2004-04,8
2004-05,8
2004-06,8
2004-07,8
2004-08,8
2004-09,14
2004-10,8
2004-11,9
2004-12,11
2005-01,11
2005-02,12
2005-03,10
2005-04,9
2005-05,8
2005-06,10
2005-07,4
2005-08,8
2005-09,10
2005-10,10
2005-11,10
2005-12,7
2006-01,11
2006-02,9
2006-03,8
2006-04,9
2006-05,6
2006-06,5
2006-07,4
2006-08,7
2006-09,10
2006-10,8
2006-11,9
2006-12,6
2007-01,8
2007-02,9
2007-03,6
2007-04,6
2007-05,6
2007-06,7
2007-07,4
2007-08,6
2007-09,10
2007-10,8
2007-11,7
2007-12,7
2008-01,8
2008-02,8
2008-03,7
2008-04,9
2008-05,7
2008-06,7
2008-07,5
2008-08,7
2008-09,10
2008-10,7
2008-11,8
2008-12,6
2009-01,9
2009-02,10
2009-03,9
2009-04,8
2009-05,7
2009-06,6
2009-07,6
2009-08,6
2009-09,11
2009-10,9
2009-11,10
2009-12,8
2010-01,12
2010-02,10
2010-03,8
2010-04,8
2010-05,6
2010-06,6
2010-07,5
2010-08,6
2010-09,11
2010-10,9
2010-11,8
2010-12,8
2011-01,10
2011-02,9
2011-03,8
2011-04,9
2011-05,8
2011-06,5
2011-07,4
2011-08,8
2011-09,13
2011-10,10
2011-11,11
2011-12,9
2012-01,12
2012-02,10
2012-03,9
2012-04,10
2012-05,9
2012-06,7
2012-07,6
2012-08,12
2012-09,18
2012-10,12
2012-11,12
2012-12,10
2013-01,14
2013-02,12
2013-03,12
2013-04,15
2013-05,15
2013-06,11
2013-07,11
2013-08,15
2013-09,24
2013-10,19
2013-11,18
2013-12,17
2014-01,23
2014-02,21
2014-03,21
2014-04,21
2014-05,22
2014-06,18
2014-07,19
2014-08,30
2014-09,35
2014-10,30
2014-11,27
2014-12,25
2015-01,32
2015-02,31
2015-03,30
2015-04,33
2015-05,32
2015-06,30
2015-07,32
2015-08,42
2015-09,51
2015-10,45
2015-11,40
2015-12,37
2016-01,44
2016-02,43
2016-03,40
2016-04,43
2016-05,40
2016-06,38
2016-07,35
2016-08,47
2016-09,56
2016-10,51
2016-11,47
2016-12,45
2017-01,61
2017-02,60
2017-03,61
2017-04,62
2017-05,57
2017-06,54
2017-07,54
2017-08,66
2017-09,73
2017-10,73
2017-11,66
2017-12,58
2018-01,73
2018-02,70
2018-03,70
2018-04,73
2018-05,70
2018-06,65
2018-07,64
2018-08,78
2018-09,88
2018-10,86
2018-11,76
2018-12,68
2019-01,89
2019-02,85
2019-03,83
2019-04,86
2019-05,78
2019-06,79
2019-07,74
2019-08,90
2019-09,100
2019-10,99
2019-11,86
2019-12,76
2020-01,91
