Category: All categories

Month,matlab: (United States)
2004-01,65
2004-02,100
2004-03,84
2004-04,95
2004-05,66
2004-06,68
2004-07,69
2004-08,56
2004-09,95
2004-10,90
2004-11,80
2004-12,63
2005-01,61
2005-02,86
2005-03,76
2005-04,78
2005-05,62
2005-06,58
2005-07,55
2005-08,50
2005-09,75
2005-10,71
2005-11,70
2005-12,51
2006-01,51
2006-02,75
2006-03,64
2006-04,71
2006-05,53
2006-06,47
2006-07,43
2006-08,45
2006-09,61
2006-10,69
2006-11,59
2006-12,41
2007-01,46
2007-02,65
2007-03,56
2007-04,62
2007-05,46
2007-06,46
2007-07,43
2007-08,42
2007-09,60
2007-10,66
2007-11,59
2007-12,41
2008-01,48
2008-02,63
2008-03,55
2008-04,64
2008-05,48
2008-06,45
2008-07,45
2008-08,39
2008-09,61
2008-10,69
2008-11,63
2008-12,48
2009-01,51
2009-02,75
2009-03,67
2009-04,73
2009-05,55
2009-06,54
2009-07,52
2009-08,47
2009-09,77
2009-10,81
2009-11,72
2009-12,55
2010-01,58
2010-02,81
2010-03,75
2010-04,82
2010-05,61
2010-06,57
2010-07,51
2010-08,48
2010-09,72
2010-10,76
2010-11,75
2010-12,52
2011-01,52
2011-02,75
2011-03,65
2011-04,72
2011-05,51
2011-06,48
2011-07,45
2011-08,44
2011-09,69
2011-10,70
2011-11,67
2011-12,46
2012-01,49
2012-02,73
2012-03,64
2012-04,68
2012-05,49
2012-06,45
2012-07,43
2012-08,42
2012-09,67
2012-10,70
2012-11,61
2012-12,42
2013-01,48
2013-02,70
2013-03,61
2013-04,69
2013-05,48
2013-06,43
2013-07,44
2013-08,42
2013-09,67
2013-10,74
2013-11,69
2013-12,46
2014-01,53
2014-02,74
2014-03,66
2014-04,75
2014-05,53
2014-06,47
2014-07,46
2014-08,44
2014-09,74
2014-10,79
2014-11,72
2014-12,50
2015-01,52
2015-02,80
2015-03,70
2015-04,80
2015-05,51
2015-06,51
2015-07,49
2015-08,45
2015-09,75
2015-10,82
2015-11,74
2015-12,50
2016-01,50
2016-02,81
2016-03,71
2016-04,74
2016-05,51
2016-06,45
2016-07,40
2016-08,40
2016-09,65
2016-10,71
2016-11,68
2016-12,47
2017-01,52
2017-02,82
2017-03,74
2017-04,79
2017-05,51
2017-06,43
2017-07,40
2017-08,39
2017-09,62
2017-10,71
2017-11,63
2017-12,42
2018-01,47
2018-02,68
2018-03,58
2018-04,65
2018-05,44
2018-06,39
2018-07,37
2018-08,37
2018-09,57
2018-10,64
2018-11,56
2018-12,37
2019-01,42
2019-02,62
2019-03,52
2019-04,60
2019-05,40
2019-06,38
2019-07,35
2019-08,34
2019-09,55
2019-10,60
2019-11,50
2019-12,33
2020-01,32
