Category: All categories

Month,numpy: (United States)
2004-01,3
2004-02,4
2004-03,5
2004-04,2
2004-05,4
2004-06,1
2004-07,2
2004-08,3
2004-09,2
2004-10,1
2004-11,2
2004-12,2
2005-01,4
2005-02,1
2005-03,2
2005-04,2
2005-05,2
2005-06,2
2005-07,2
2005-08,1
2005-09,1
2005-10,2
2005-11,1
2005-12,2
2006-01,2
2006-02,2
2006-03,3
2006-04,2
2006-05,3
2006-06,5
2006-07,5
2006-08,5
2006-09,5
2006-10,4
2006-11,4
2006-12,4
2007-01,5
2007-02,6
2007-03,8
2007-04,8
2007-05,7
2007-06,6
2007-07,9
2007-08,7
2007-09,7
2007-10,7
2007-11,6
2007-12,8
2008-01,7
2008-02,6
2008-03,8
2008-04,9
2008-05,9
2008-06,9
2008-07,9
2008-08,7
2008-09,10
2008-10,8
2008-11,9
2008-12,8
2009-01,10
2009-02,10
2009-03,12
2009-04,10
2009-05,11
2009-06,13
2009-07,13
2009-08,10
2009-09,11
2009-10,14
2009-11,9
2009-12,10
2010-01,11
2010-02,14
2010-03,13
2010-04,16
2010-05,15
2010-06,15
2010-07,12
2010-08,13
2010-09,13
2010-10,11
2010-11,13
2010-12,11
2011-01,12
2011-02,14
2011-03,15
2011-04,15
2011-05,13
2011-06,14
2011-07,14
2011-08,15
2011-09,15
2011-10,16
2011-11,15
2011-12,12
2012-01,13
2012-02,16
2012-03,18
2012-04,18
2012-05,16
2012-06,14
2012-07,16
2012-08,16
2012-09,18
2012-10,18
2012-11,20
2012-12,13
2013-01,16
2013-02,22
2013-03,22
2013-04,22
2013-05,20
2013-06,22
2013-07,22
2013-08,20
2013-09,22
2013-10,25
2013-11,26
2013-12,18
2014-01,21
2014-02,29
2014-03,26
2014-04,28
2014-05,24
2014-06,26
2014-07,26
2014-08,23
2014-09,27
2014-10,30
2014-11,30
2014-12,24
2015-01,27
2015-02,34
2015-03,35
2015-04,38
2015-05,32
2015-06,35
2015-07,40
2015-08,34
2015-09,38
2015-10,42
2015-11,41
2015-12,34
2016-01,37
2016-02,46
2016-03,44
2016-04,51
2016-05,42
2016-06,45
2016-07,41
2016-08,39
2016-09,44
2016-10,53
2016-11,55
2016-12,47
2017-01,50
2017-02,75
2017-03,74
2017-04,77
2017-05,62
2017-06,65
2017-07,61
2017-08,62
2017-09,73
2017-10,83
2017-11,80
2017-12,59
2018-01,65
2018-02,93
2018-03,83
2018-04,88
2018-05,76
2018-06,71
2018-07,72
2018-08,69
2018-09,80
2018-10,91
2018-11,87
2018-12,63
2019-01,70
2019-02,99
2019-03,87
2019-04,99
2019-05,77
2019-06,78
2019-07,81
2019-08,72
2019-09,93
2019-10,100
2019-11,89
2019-12,59
2020-01,62
